species_list,Site Name,Longitude,Latitude,Month,Year,total_tolerant_species,total_sensitive_species,total_resident_species,total_migrant_species,total_unique_species,total_bird_count
"['Black-crowned Night Heron', 'Black-winged Stilt', 'Collared Kingfisher', 'Common Greenshank', 'Eurasian Moorhen', 'Common Sandpiper', 'Gray Heron', 'Great Egret', 'Gray-tailed Tattler', 'Kentish Plover', 'Little Egret', 'Pacific Golden-Plover', 'Nankeen Night Heron', 'Little Heron', 'White-breasted Waterhen', 'Whiskered Tern']",Las Pinas-Paranaque Wetland Park,120.9805655,14.4927334,11,2014,13,3,8,8,16,138
"['Chestnut Munia', 'Crested Myna', 'Golden-headed Cisticola']","Central Business Park, Pasay City akak PEA Road One site",120.9866824,14.5363458,2,2014,3,0,3,0,3,7
"['Crested Myna', 'Eurasian Kestrel', 'Gray-rumped Swiftlet', 'Chirruping Nightjar', 'Yellow-vented Bulbul']",Midas Hotel,120.9929584,14.5397821,3,2014,4,1,4,1,5,28
"['Eurasian Tree Sparrow', 'Gray-rumped Swiftlet', 'Pacific Swallow', 'Rock Pigeon']",NAIA runway (Manila),121.00732,14.5030459,1,2014,4,0,4,0,4,43
"['Eurasian Tree Sparrow', 'Gray-rumped Swiftlet', 'Pacific Swallow']",NAIA runway (Manila),121.00732,14.5030459,10,2014,3,0,3,0,3,14
['Garden Sunbird'],Pasay City,121.0076451,14.5410914,2,2014,1,0,1,0,1,3
['Philippine Pygmy Woodpecker'],Pasay City,121.0076451,14.5410914,7,2014,1,0,1,0,1,1
['Philippine Pygmy Woodpecker'],Pasay City,121.0076451,14.5410914,9,2014,1,0,1,0,1,2
"['Golden-bellied Gerygone', 'Garden Sunbird']","Tripa de Galina Creek, Bangkal, Makati City",121.0097533,14.5422193,2,2014,2,0,2,0,2,4
['Golden-bellied Gerygone'],"Tripa de Galina Creek, Bangkal, Makati City",121.0097533,14.5422193,5,2014,1,0,1,0,1,1
"['Black-crowned Night Heron', 'Golden-bellied Gerygone', 'Garden Sunbird']","Tripa de Galina Creek, Bangkal, Makati City",121.0097533,14.5422193,6,2014,3,0,3,0,3,25
"['Eurasian Tree Sparrow', 'Philippine Pied-Fantail']",Manila,121.0099411,14.5849125,7,2014,2,0,2,0,2,10
"['Golden-bellied Gerygone', 'Gray-rumped Swiftlet', 'Little Egret', 'Philippine Pied-Fantail', 'Red Collared-Dove', 'Rock Pigeon', 'Zebra Dove']",Manila Marriott,121.0187092,14.5204448,11,2014,7,0,7,0,7,23
"['Black-crowned Night Heron', 'Brown Shrike', 'Elegant Tit', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Little Egret', 'Lowland White-eye', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Yellow-vented Bulbul']","Ayala Triangle Gardens, Makati",121.0229445,14.5571256,1,2014,9,1,9,1,10,41
"['Brown Shrike', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray-rumped Swiftlet', 'Yellow-vented Bulbul']","Ayala Triangle Gardens, Makati",121.0229445,14.5571256,10,2014,4,1,4,1,5,13
['Australasian Grass-Owl'],Metro Manilla,121.0242748,14.5552564,4,2014,0,1,1,0,1,1
"['Brown Shrike', 'Chestnut-cheeked Starling', 'Eurasian Tree Sparrow', 'Gray-rumped Swiftlet', 'Rock Pigeon', 'Nankeen Night Heron', 'Yellow-vented Bulbul', 'Zebra Dove']",PH-NCR-Makati City,121.024774,14.553389,4,2014,7,1,6,2,8,47
['Blue-tailed Bee-eater'],"BF Manresa, Paranaque City",121.026015,14.440093,4,2014,0,1,0,1,1,4
"['Collared Kingfisher', 'Pied Triller']","BF Manresa, Paranaque City",121.026015,14.440093,7,2014,2,0,2,0,2,4
