Species Name,Light Tolerance,Migratory Status
Indian Cuckoo,Sensitive,Migratory
Chestnut-winged Cuckoo,Sensitive,Migratory
Common Shelduck,Sensitive,Migratory
Locustella sp.,Sensitive,Migratory
Gray's/Sakhalin Grasshopper Warbler,Sensitive,Migratory
Gray-headed Fish-Eagle,Sensitive,Resident
Mindoro Imperial-Pigeon,Sensitive,Resident
spiderhunter sp.,Sensitive,Resident
Sunda Thrush,Sensitive,Resident
Greater White-fronted Goose,Sensitive,Migratory
Lapland Longspur,Sensitive,Migratory
Horornis sp.,Sensitive,Resident
Eurasian Spoonbill,Sensitive,Migratory
Cordillera Ground-Warbler,Sensitive,Resident
Ferruginous Duck,Sensitive,Migratory
Tboli Sunbird,Sensitive,Resident
Black Drongo,Sensitive,Migratory
Saunders's Gull,Sensitive,Migratory
Mandarin Duck,Sensitive,Migratory
Red-throated Pipit,Sensitive,Migratory
Pomarine Jaeger,Sensitive,Migratory
Jerdon's Baza,Sensitive,Resident
Tiger Shrike,Sensitive,Migratory
Great Frigatebird,Tolerant,Resident
Eurasian Moorhen/Common Gallinule,Tolerant,Resident
lovebird sp.,Tolerant,Resident
Masked Booby,Tolerant,Resident
Fischer's Lovebird,Tolerant,Resident
Black-backed/Rufous-backed Dwarf-Kingfisher,Sensitive,Resident
Palm Cockatoo,Sensitive,Resident
Leyte Plumed-Warbler,Sensitive,Resident
Samar Crow,Sensitive,Resident
Yellow-crested Cockatoo,Sensitive,Resident
Brown Boobook,Sensitive,Resident
gull/tern sp.,Tolerant,Migratory
Mindanao Shortwing,Sensitive,Resident
Ficedula sp.,Sensitive,Migratory
Black-faced Bunting,Sensitive,Migratory
Chestnut Bunting,Sensitive,Migratory
Common Rosefinch,Sensitive,Migratory
Little Bunting,Sensitive,Migratory
Lesser White-fronted Goose,Sensitive,Migratory
Reed Bunting,Sensitive,Migratory
Eurasian Skylark,Sensitive,Migratory
Taiga Flycatcher,Sensitive,Migratory
goose sp.,Sensitive,Migratory
Black-crowned/Nankeen Night Heron,Tolerant,Resident
Baillon's Crake,Sensitive,Migratory
Black-faced/Masked Bunting,Sensitive,Migratory
Black-headed Bunting,Sensitive,Migratory
Brambling,Sensitive,Migratory
Chestnut-eared Bunting,Sensitive,Migratory
Eurasian Sparrowhawk,Sensitive,Migratory
Falcated Duck,Sensitive,Migratory
Graylag Goose,Sensitive,Migratory
Hair-crested Drongo,Sensitive,Resident
Rook,Tolerant,Migratory
Taiga Bean-Goose,Sensitive,Migratory
Siberian/Amur Stonechat,Sensitive,Migratory
Yellow-browed Bunting,Sensitive,Migratory
Asian Stubtail,Sensitive,Migratory
Lanceolated Warbler,Sensitive,Migratory
Spotted Redshank,Sensitive,Migratory
Black-winged Cuckooshrike,Sensitive,Resident
Naumann's Thrush,Sensitive,Migratory
Common Hoopoe,Sensitive,Migratory
Long-billed Plover,Sensitive,Migratory
Red-throated Thrush,Sensitive,Migratory
Short-eared Owl,Sensitive,Migratory
Aythya sp.,Sensitive,Migratory
Eurasian Whimbrel/Eurasian Curlew,Sensitive,Migratory
Yellow-browed Warbler,Sensitive,Migratory
Black-backed Swamphen,Tolerant,Resident
Cockatiel,Tolerant,Resident
Eurasian Oystercatcher,Sensitive,Migratory
Rallus sp.,Tolerant,Resident
Common Gull,Tolerant,Migratory
Tanimbar Corella,Tolerant,Resident
Citrine Wagtail,Sensitive,Migratory
jaeger/skua sp.,Sensitive,Migratory
Chinese Blackbird,Sensitive,Migratory
Gray-headed Lapwing,Sensitive,Migratory
Yellow-breasted Warbler,Sensitive,Resident
Western/Eastern Cattle-Egret,Tolerant,Resident
Black-naped Fruit-Dove,Sensitive,Resident
Himalayan Cuckoo,Sensitive,Migratory
Banded Bay Cuckoo,Sensitive,Resident
White-tailed Tropicbird,Sensitive,Migratory
Long-tailed Jaeger,Sensitive,Migratory
Zitting/Golden-headed Cisticola,Tolerant,Resident
stilt/avocet sp.,Tolerant,Migratory
Far Eastern/Eurasian Curlew,Sensitive,Migratory
Pacific/Barn Swallow,Tolerant,Migratory
Bulwer's Petrel,Sensitive,Migratory
Eurasian Hobby,Sensitive,Migratory
Eurasian Wryneck,Sensitive,Migratory
Hawfinch,Sensitive,Migratory
House Sparrow,Tolerant,Resident
Schrenck's Bittern,Sensitive,Migratory
Temminck's Stint,Sensitive,Migratory
myna/starling sp.,Tolerant,Resident
Black-headed/Red-headed Bunting,Sensitive,Migratory
White-throated Needletail,Tolerant,Migratory
teal sp.,Sensitive,Migratory
Siberian House-Martin,Tolerant,Migratory
Emberiza sp.,Sensitive,Migratory
Japanese Thrush,Sensitive,Migratory
Pallas's Grasshopper Warbler,Sensitive,Migratory
Pallas's Bunting,Sensitive,Migratory
Radde's Warbler,Sensitive,Migratory
Red-breasted Flycatcher,Sensitive,Migratory
Red-flanked Bluetail,Sensitive,Migratory
Rustic Bunting,Sensitive,Migratory
shearwater sp.,Sensitive,Migratory
Eurasian/Oriental Skylark,Tolerant,Resident
Yellow-breasted Bunting,Sensitive,Migratory
Japanese Leaf/Arctic Warbler,Sensitive,Migratory
Gray-headed Lovebird,Tolerant,Resident
Sulu Pygmy Woodpecker,Sensitive,Resident
Laughing Gull,Tolerant,Migratory
Bluethroat,Sensitive,Migratory
Blyth's Pipit,Sensitive,Migratory
Chestnut-tailed Starling,Tolerant,Migratory
Great Crested Grebe,Sensitive,Migratory
grebe sp.,Sensitive,Resident
Siberian Pipit,Sensitive,Migratory
Great/Red Knot,Sensitive,Migratory
Mindanao Serin,Sensitive,Resident
old world warbler sp.,Sensitive,Migratory
Long-billed Dowitcher,Sensitive,Migratory
Malayan/Japanese Night Heron,Sensitive,Resident
parrotfinch sp.,Sensitive,Resident
Spoon-billed Sandpiper,Sensitive,Migratory
Nazca Booby,Sensitive,Migratory
Swan Goose,Sensitive,Migratory
Blue-breasted Blue Flycatcher,Sensitive,Resident
Calayan Rail,Sensitive,Resident
shrike sp.,Sensitive,Migratory
Nisaetus sp.,Sensitive,Resident
spoonbill sp.,Sensitive,Migratory
Green-faced Parrotfinch,Sensitive,Resident
Oriental Darter,Tolerant,Resident
Cebu Flowerpecker,Sensitive,Resident
Brown/Black Noddy,Tolerant,Resident
Sterna sp.,Sensitive,Migratory
Sulu Hornbill,Sensitive,Resident
Rainbow Bee-eater,Sensitive,Migratory
Comb-crested Jacana,Tolerant,Resident
Black-crowned x Nankeen Night Heron,Tolerant,Resident
Pectoral Sandpiper,Sensitive,Migratory
Red-backed Shrike,Sensitive,Migratory
Willow Warbler,Sensitive,Migratory
Kermadec Petrel,Sensitive,Migratory
Cinnamon/Yellow Bittern,Tolerant,Resident
scops-owl sp.,Sensitive,Resident
Eastern Cattle-Egret/Medium Egret,Sensitive,Migratory
Elegant Imperial-Pigeon,Sensitive,Resident
Ruddy Shelduck,Sensitive,Migratory
Aberrant Bush Warbler,Sensitive,Resident
Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Sensitive,Migratoryory
Tawny-breasted Parrotfinch,Tolerant,Resident
Palawan Cuckoo-Dove (undescribed form),Tolerant,Resident
White's/Scaly Thrush,Sensitive,Migratoryory
Accipitrine hawk sp. (former Accipiter sp.),Tolerant,Migratory
black myna sp.,Tolerant,Resident
Lesser Adjutant,Tolerant,Resident
Baer's Pochard,Sensitive,Migratory
Chinese Francolin,Tolerant,Resident
Red/Red-necked Phalarope,Sensitive,Migratory
Mindoro Island-Thrush,Sensitive,Resident
Red-necked/Little Stint,Sensitive,Migratory
fantail sp.,Tolerant,Resident
Siberian Blue Robin,Sensitive,Migratory
Daurian/Chestnut-cheeked Starling,Sensitive,Migratory
Ashy Tailorbird,Tolerant,Resident
Olive-winged Bulbul,Tolerant,Resident
Richard's / Paddyfield Pipit,Tolerant,Resident/Migratory
Red-tailed Tropicbird,Sensitive,Resident
Australian Pelican,Sensitive,Migratory
Blue-and-white / Zappey's Flycatcher,Sensitive,Migratory
Amur Paradise-Flycatcher,Sensitive,Migratory
Short-billed / Long-billed Dowitcher,Sensitive,Migratory
Mindanao Shortwing,Sensitive,Resident
Microtarsus / Rubigula / Pycnonotus sp. (Bulbuls),Tolerant,Resident
Asian Brown / Brown-streaked Flycatcher,Sensitive,Migratory
Large Fig-Parrot,Tolerant,Resident
Brant,Sensitive,Migratory
Apus sp. (Swifts),Tolerant,Resident 
Rufous-breasted Blue Flycatcher,Sensitive,Resident
cuckoo sp. (Cuculidae sp.),Tolerant,Migratory / Resident
Long-tailed / Parasitic Jaeger,Sensitive,Migratory
Sacred Kingfisher,Sensitive,Migratory
Bank Swallow / Pale Martin,Sensitive,Migratory
Richard's / Paddyfield Pipit,Tolerant,Migratory / Resident
Blue-and-white / Zappey's Flycatcher,Sensitive,Migratory
Short-billed / Long-billed Dowitcher,Sensitive,Migratory
Mindanao Shortwing (undescribed form),Sensitive,Resident
Microtarsus / Rubigula / Pycnonotus sp.,Tolerant,Resident
Asian Brown / Brown-streaked Flycatcher,Sensitive,Migratory
Gray-streaked / Dark-sided Flycatcher,Sensitive,Migratory
Blue-billed White-Tern (White Tern),Sensitive,Resident
Blue-winged Pitta,Sensitive,Migratory
Channel-billed Cuckoo,Sensitive,Migratory
Ijima's Leaf Warbler,Sensitive,Migratory
Gray's Grasshopper Warbler,Sensitive,Migratory
Domestic Goose sp. (Domestic type),Neutral,Resident
House / Eurasian Tree Sparrow,Tolerant,Resident
Pterodroma sp. (Gadfly Petrels),Sensitive,Migratory
Paradise-flycatcher sp.,Sensitive,Resident / Migratory
Daurian Starling,Sensitive,Migratory
Large / Common Hawk-Cuckoo,Sensitive,Migratory
Japanese Grosbeak,Sensitive,Migratory
Merlin,Sensitive,Migratory
Shikra,Tolerant,Resident
Turdus sp. (True Thrushes),Sensitive,Migratory / Resident
Blue-and-white / Zappey's Flycatcher,Sensitive,Migratory
Black-crowned x Nankeen Night Heron (hybrid),Tolerant,Resident
